Key,Type,Desc,English,French,German,Spanish,Japanese,Korean,Chinese (Simplified),Russian,Traditional Chinese,Turkish,Italian,Portuguese (Brazil)
JOB_SPONGEBOB_PATTYWAGON_DESCRIPTION,Text,,"Fish Paste! The muck-spreader struck again last night! This time it's hit Mr. Krabs' Patty Wagon!

No one's seen a filthy hopper anywhere, so it looks like we're back to square one. My friend, Sandy Cheeks, is coming over to help me investigate. She's the smartest aquanautic squirrel I know. Together we'll get to the bottom of all this. Let's split up: We'll search for clues in the dirt, and you wash it all away with your shouty water cannon.","Nom d'un panier de crabes ! Quelqu'un a encore tout sali hier soir ! Cette fois-ci, c'est le Pâté buggy du Capitaine Krabs qui a été visé !

Personne n'a vu de bulle sale et sauteuse, alors c'est le retour à la case départ. Mon amie Sandy l'écureuil va venir m'aider à mener l'enquête. C'est l'écureuil aquanaute la plus intelligente que je connaisse. Ensemble, nous tirerons cette affaire au clair. Séparons-nous. On va chercher des indices dans la saleté, pendant que tu nettoieras tout ça avec ton canon à eau.","Fischpaste! Der Dreckstreuer hat letzte Nacht wieder zugeschlagen! Dieses Mal hat es Mr. Krabs Burgermobil erwischt!

Niemand hat irgendwo einen schmutzigen Hüpfer gesehen, also sieht es so aus, als wären wir wieder bei Null. Meine Freundin Sandy Cheeks kommt vorbei, um mir bei den Ermittlungen zu helfen. Sie ist das intelligenteste aquanautische Eichhörnchen, das ich kenne. Zusammen werden wir dem Ganzen auf den Grund gehen. Teilen wir uns auf: Wir suchen im Schmutz nach Hinweisen, und du wäschst mit deinem brüllenden Wasserwerfer alles weg.","¡Pastel de pescado! ¡Ese esparcelodo volvió a la carga anoche! ¡Esta vez la ha tomado con el autobúrguer del señor Cangrejo!

Nadie ha visto una masa pringosa saltarina por aquí, así que estamos como al principio. Mi amiga, Arenita Mejillas, va a venir a investigar conmigo. Es la ardilla acuanáutica más listísima que conozco. Juntos llegaremos al fondo de este asunto. Vamos a dividirnos: nosotros buscaremos pistas y tú les limpias la roña con esa pistola de agua tan chachi.","ちくしょー！昨夜、汚し屋が再び襲ってきたんだ！今回はカーニさんのバーガーカーがやられた！

あのうす汚れたムツゴロウを誰も見かけてないってことは、捜索はふりだしだね。僕の友達のサンディ・チークスが調査を手伝ってくれるそうだ。僕が知っている中で最も頭がいい「潜水リス」なんだ。一緒に真相を突き止めようじゃないか！手分けしよう。僕たちが泥の中で手がかりを探す。君はその騒がしい水鉄砲で泥を洗い流してくれ！","이런 어묵 같은! 어젯밤에 그 퇴비 살포기가 또 들이닥쳤어! 이번에는 집게사장의 패티 왜건을 공격했어!

어디에서도 그 더러운 녀석을 본 사람이 없다고 하니 다시 원점으로 돌아온 셈이지. 내 친구 다람이가 조사를 도와주러 오기로 했어. 내가 아는 가장 똑똑한 수중 다람쥐야. 둘이 함께 이 모든 일의 진실을 밝혀내고 말겠어. 역할을 나누자. 우리가 오물 속에서 단서를 찾는 동안 넌 요란한 물대포로 모든 것을 씻어내면 돼.","该死！乱扔垃圾的家伙昨晚上又来了！这次受害的是蟹老板的美味蟹堡车！

谁也没看到是谁扔的，所以看起来我们又回到了原点。我的朋友珊迪要来帮我调查。她是我认识的最聪明的海底松鼠。我们会一起查明这一切。我们分头行动：我们在脏东西里寻找线索，你用你的大嗓门水炮把它们全部冲走。","Рыбная паста! Прошлой ночью грязнуля снова нанес свой удар! На этот раз досталось Крабсбургеромобилю мистера Крабса!

Никто нигде не видел этого грязного попрыгуна, так что, похоже, начинай все сначала. Моя подруга, Сэнди Чикс, готова помочь в расследовании. Она самая умная белка-водолаз, которую я знаю. Вместе мы докопаемся до истины. Давайте разделимся: мы займемся поиском улик в грязи, а вы отмоете все это из вашего шумного водомета.","我的魚醬啊！鬧事的人昨晚又來了！他這次的目標是蟹老闆的美味蟹堡車！

沒人看到可惡的骯髒鬼，看來我們又回到原點了。我的朋友珊迪會來幫我們調查。她是我認識最聰明的海底松鼠。我們一定會查個水落石出。分頭進行吧，我去看看泥巴裡面有沒有其他線索，你去用水槍把它洗乾淨。","Balık Ezmesi! Çamur saçan dün gece yine saldırdı! Bu defa da Bay Yengeç'in Yengeç Burger Arabasına saldırdı!

O pis hergeleyi kimse görmemiş, yani başladığımız yere döndük. Arkadaşım Sandy Yanak soruşturmaya yardım etmeye geliyor. Kendisi tanıdığım en zeki deniz sincabıdır. Birlikte bu meselenin aslını çözeceğiz. Ayrılalım: Biz pislikten ipuçları bulalım, sen de bu pislikleri tazyikli suyla yıka.","Per tutte le acciughe! Quel distributore di sporco ha colpito anche ieri notte! E questa volta la vittima è stata la Patty Mobile di Mister Krabs!

Nessuno ha visto una sudicia sfera da nessuna parte, quindi siamo di nuovo al punto di partenza. La mia amica, Sandy Cheeks, sta arrivando per aiutare a fare luce sulla questione. È lo scoiattolo acquanautico più intelligente che conosca. Insieme metteremo fine a questa storia. Dividiamoci: noi cerchiamo indizi nella sporcizia e tu pensa a lavare via tutto con il tuo ruggente cannone ad acqua.","Pasta de Peixe! O espalhador de sujeira atacou novamente ontem à noite! Desta vez, o alvo foi o Carro-hambúrguer do Sr. Sirigueijo!

Ninguém viu um meliante imundo em lugar nenhum, então parece que voltamos à estaca zero. Minha amiga Sandy Bochechas está vindo para me ajudar a investigar. Ela é o esquilo aquanauta mais inteligente que conheço. Juntos, vamos chegar ao fundo disso. Vamos nos dividir: Nós procuramos pistas na sujeira, e você limpa tudo com seu canhão de água."
JOBMESSAGE_SPONGEBOB_BUS_MESSAGE_COMPLETE,Text,,"I never thought I'd say this, but that looks as good as new, if not better.

Thanks to you, the people of Bikini Bottom can get a real taste of what sophisticated humor and song should sound like!","Je n'aurais jamais pensé dire ça, mais il a l'air comme neuf, si ce n'est mieux.

Grâce à toi, les habitants de Bikini Bottom vont pouvoir découvrir la crème de la crème en matière d'humour et de chant !","Ich hätte nie gedacht, dass ich das sagen würde, aber das sieht so gut wie neu aus, wenn nicht besser.

Dank dir können die Leute von Bikini Bottom einen echten Vorgeschmack darauf bekommen, wie anspruchsvoller Humor und Gesang klingen sollten!","Nunca pensé que diría esto, pero ha quedado como nuevo, si no mejor.

¡Gracias a ti, la gente de Fondo de Bikini podrá probar las mieles de mi sofisticado humor y mi preciosa voz de cantante!","こんなことを言うとは思わなかったが、それは新品同様、いやそれ以上に見える。

おまえさんのおかげで、ビキニタウンのみんなもワシの洗練されたユーモアと歌を堪能できる！","이런 말을 하게 될 줄은 몰랐는데, 새것이나 다름없어졌네.

네 덕분에 비키니 시티의 시민들이 세련된 유머와 노래를 맛볼 수 있게 되었어!","我从没想过我会这么说，但它看起来和新的一样，甚至可能更干净。

多亏了你，比奇堡的居民能真正体会到什么才是高级的幽默和歌曲！","Никогда бы не подумал, что скажу это, но автобус выглядит как новый, если не лучше.

Благодаря вам жители Бикини Боттома смогут по-настоящему почувствовать, как должны звучать утонченный юмор и песни!","沒想過我會這樣說，但它真的看起來就和新的一樣，搞不好還更乾淨！

多虧你，比奇堡的人終於能體驗到真品味的幽默跟歌聲啦！","Bunu söyleyeceğim hiç aklıma gelmezdi ama yeni halinden bile daha temiz duruyor.

Sayende Bikini Kasabası halkı, sofistike mizahın ve müziğin tadına varabilecek!","Non avrei mai pensato di dirlo, ma sembra nuova, forse anche meglio di prima.

Grazie al tuo aiuto gli abitanti di Bikini Bottom potranno avere un assaggio del migliore umorismo e della musica più sofisticata!","Nunca pensei que diria isso, mas parece tão bom quanto novo, se não melhor.

Graças a você, o pessoal da Fenda do Biquíni pode sentir o verdadeiro gosto do humor sofisticado e da música!"
JOBMESSAGE_SPONGEBOB_BUS_MESSAGE_STAR0,Text,,"Ok, you're doing it, terrific! Here's my best joke. \s4 'What's grey, has eight legs, nine brains and dies after mating?' \s8 Oh no, wrong book, hang on…","Tu assures, bravo ! Voici ma meilleure blague. \s4 « Qu'est-ce qui est gris, doté de huit pattes, de neuf cerveaux et qui meurt après avoir donné la vie ? » \s8 Mince, ce n’est pas le bon livre... Attends...","Okay, du übernimmst das, wunderbar! Hier ist mein bester Witz. \s4 „Was ist grau, hat acht Beine, neun Gehirne und stirbt nach der Paarung?“ \s8 Oh nein, falsches Buch, Moment mal …","¡Vale, vas a hacerlo, estupendo! Va mi mejor chiste. \s4 ¿Qué es gris, tiene ocho patas y nueve cerebros y se muere tras aparearse? \s8 Ah, no, que no es este libro, espera...",おお、引き受けてくれるのか！恩に着るよ！ここで最高のジョークをひとつ披露しよう。 \s4 「灰色で、足が8本で、脳が9つあって、交尾の後に死ぬのはなーんだ？」 \s8 いかん、本を間違えた。待ってくれ……,"아, 청소 중이구나. 좋아! 내 최고의 농담을 들려 줄게. \s4 '회색이고, 다리가 8개, 뇌가 9개이고, 짝짓기하고 나면 죽는 것은 무엇일까?' \s8 이런, 책을 잘못 가져왔잖아. 잠시만...",很好，你做到了，太棒了！来听听我压箱底的笑话吧。 \s4 “什么东西长着灰色的身子，八条腿，九个脑子，交配后就会死？” \s8 啊不，拿错书了，等等……,"Так, дело пошло, замечательно! Вот моя лучшая шутка. \s4 «Что имеет серый цвет, восемь ног, девять мозгов и погибает после спаривания?» \s8 Ой, не та книга, подождите…",你做到了，真是太棒了！我就跟你說說我珍藏的笑話吧。 \s4 「什麼東西是灰色的，有八條腿，九個大腦，然後交配完之後就死了？」 \s8 哦不，拿錯書了，等等……,"Bu işte çok iyisin, harika! En iyi şakamı yapayım. \s4 ""Gri, sekiz bacaklı, dokuz beyinli ve çiftleştikten sonra ölen canlı nedir?"" \s8 Pardon, yanlış kitap, bir saniye...","Oh, questo sì che è mettersi all'opera, ottimo! Ecco la mia battuta migliore. \s4 'Cos'è grigio, ha otto zampe, nove cervelli e muore dopo l'accoppiamento?' \s8 Oh no, è il libro sbagliato, aspetta...","Ok, você está conseguindo. Ótimo! Aqui vai a minha melhor piada. \s4 ""O que é cinza, tem oito pernas, nove cérebros e morre após o acasalamento?"" \s8 Opa, livro errado, aguenta aí..."
JOBMESSAGE_SPONGEBOB_BUS_MESSAGE_STAR1,Text,,"Wait a minute, what book was that? \s6 'Life Cycle of the Octopus'? Is this someone's idea of a joke? Who gave me this?! \s7 'All my love, Mother'.","Une petite minute, c'était quoi ce livre ? \s6 « Le cycle de vie de la pieuvre » ? Il y en a qui trouvent ça drôle ? Qui m'a donné ça ?! \s7 « Avec tout mon amour, ta maman. »","Warte mal, was war das für ein Buch? \s6 „Lebenszyklus des Oktopus“? Hält jemand das für einen Witz? Wer hat mir das gegeben?! \s7 „In Liebe, deine Mutter“.","Un momento, ¿qué libro era ese? \s6 ¿El ciclo vital del pulpo? ¿Esto es un chiste? ¡¿Quién me ha dado esto?! \s7 «Con amor, mamuchi».",いや待て、なんじゃ今の本は？ \s6 「タコの生活環」？これは悪い冗談か？誰じゃこれをワシに渡したのは！ \s7 「心を込めて、母より」,"잠깐만, 저게 무슨 책이지? \s6 '문어의 일생'? 이런 걸 농담이라고 생각한 사람이 있단 말이야? 누가 준 거지?! \s7 '정말 사랑한다, 엄마가'.",这是什么书？ \s6 《章鱼的生命周期》？这是什么恶作剧？谁把这个给了我？！ \s7 “最爱你的妈妈”。,"Так, а что это была за книга? \s6 «Жизненный цикл осьминога»? Это что, шутка такая? Кто мне ее дал?! \s7 «С любовью, мама».",等一下，那本書是什麼？ \s6 《章魚的生命週期》？是誰在惡作劇啊？這是誰拿給我的？！ \s7 「愛你的媽媽上」,"Dur, o ne kitabıydı ki? \s6 ""Ahtapotun Yaşam Döngüsü"" mü? Şaka anlayışınız bu mu? Bana bunu kim verdi? \s7 ""Sevgiler, Annen.""","Aspetta un attimo, che libro era? \s6 ""Ciclo vitale della piovra""? Qualcuno lo trova divertente? Chi me l'ha dato?! \s7 'Con amore, mamma'.","Espere, que livro era aquele? \s6 ""Ciclo de Vida do Polvo""? Alguém acha isso engraçado? Quem me deu isso?! \s7 ""Com amor, Mamãe""."
JOBMESSAGE_SPONGEBOB_BUS_MESSAGE_STAR2,Text,,"Found it. \s2 'How does a pirate ask another pirate what regional accent it has?' \s8 'How arrrrr you?' \s4 No, no, that's terrible. Stay with me...","Je l'ai. \s2 « Comment un vieux pirate salue-t-il les jeunes ? » \s8 « Ça mousse ? » \s4 Non, non, c'est nul. Attends voir…","Gefunden. \s2 „Wie fragt ein Pirat einen anderen Piraten, welchen regionalen Akzent er hat?“ \s8 „Wie klingt’s bei di-arrrrr?“ \s4 Nein, nein, der ist schrecklich. Gib mir eine Sekunde …","Lo encontré. \s2 «¿Qué le dice un pirata a otro para romper el hielo?». \s8 «¿Te apetece hablaarrrrr?». \s4 Uf, ese es muy malo. Espera, que tengo más...",見つけたぞ。 \s2 「海賊は、どうやって他の海賊の訛りを聞き出す？」 \s8 「鉛で脅すんだ！」 \s4 いやいや、こりゃあひどい。もうしばしお付き合いを……,"찾았다. \s2 '해적이 수학 문제를 잘 푸는 이유는 무엇일까?' \s8 '항상 X를 찾으려고 노력하기 때문이다.' \s4 이건 아냐, 형편없잖아. 어디 가지 말고 기다려 봐...",找到了。 \s2 “海盗之间怎么打招呼？” \s8 “海！” \s4 不不，这个实在不行。别走啊……,"А, вот. \s2 «Как смеются пираты?» \s8 «Йо-хо-хо!» \s4 Нет, это ужасная шутка. Погодите...",終於找到了。 \s2 「海盜要怎麼問另一個海盜他有什麼口音？」 \s8 「哩好嗎？」 \s4 不，不對，這完全不好笑。等等……,"Buldum. \s2 ""Bir korsan, diğer korsanın yerel aksanını nasıl sorar?"" \s8 ""Nabaysun?"" \s4 Yok, çok kötü oldu. Bekle...","Trovato. \s2 ""Come fa un pirata a chiedere a un altro pirata da dove proviene?"" \s8 'Da che porrrto parrrti?' \s4 No, no, è terribile. Un attimo di pazienza...","Achei. \s2 ""Como um pirata pergunta a outro pirata que sotaque regional ele tem?"" \s8 — ""Como você estarrrrrr?"" \s4 Não, não, essa é horrível. Aguenta mais um pouquinho..."
JOBMESSAGE_SPONGEBOB_BUS_MESSAGE_STAR3,Text,,"Ah, ha, here it is, my greatest joke. This is definitely it. \s4 'Which ancient cephalopod demanded a seat at King Neptune's table?' \s5 'The ammonite.' \s3 Ammonite? I'm a knight. Get it? \s7 I give up.","Ha, la voilà, ma meilleure blague. Écoute bien. \s4 « Que dit une baleine quand elle en a ras la casquette ? » \s5 « Cétacé. » \s3 Cétacé ? C'est assez. T'as compris ? \s7 Bon, j'abandonne.","Ah, ha, hier ist er, mein großartigster Witz. Das ist er definitiv. \s4 „Was für ein Auto würde ein Teufelsrochen fahren?“ \s5 „Einen Manta.“ \s3 Teufelsrochen? Manta. Kapiert? \s7 Ich gebe auf.","Ja, ja, aquí va, mi mejor chiste. Ya lo verás. \s4 «¿Qué le dice un lenguado a otro?». \s5 «Chico, me dejas planchado». \s3 ¿Lo pillas? Como son tan planos... ¿No? \s7 Me rindo.",あったあった！これじゃよ、ワシの渾身のジョークは。これなら爆笑間違いなし。 \s4 「夜になると泣きわめく古代の頭足類は？」 \s5 「アンモナイト！」 \s3 アンモナイト……アーン！もう、ナイト。どうだ？面白いじゃろ？ \s7 もうやめようか。,"아하, 여기 있다. 내 최고의 농담. 이게 확실해. \s4 '포세이돈 왕의 식탁에 자리를 마련해달라고 요청한 고대 두족류는?' \s5 '암모나이트.' \s3 암모나이트? 아임 어 나이트. 이해했어? \s7 그냥 포기할래.",啊哈，在这里，我最伟大的笑话。绝对是这个了。 \s4 “哪种古老的头足类动物在海王的庭院里占两个位置？” \s5 “菊石。” \s3 菊石？菊花和石头。明白了吗？ \s7 我放弃了。,"А, вот она, моя лучшая шутка. Абсолютно точно. \s4 «Какой головоногий моллюск не может усидеть за столом царя Нептуна?» \s5 «Каракатица!» \s3 Каракатица? «Кара катится». Теперь понятно? \s7 Ладно, я сдаюсь.",啊有了，我最棒的笑話！就是這個了。 \s4 「哪一種古老的頭足綱動物會想要坐在海神王的餐桌旁邊？」 \s5 「菊石。」 \s3 為什麼是菊石？因為「菊」躬盡瘁啊。懂吧？ \s7 好吧我放棄。,"Hah, işte, en iyi şakam bu. Kesinlikle bu. \s4 ""Hangi kadim kafadanbacaklı Kral Neptün'ün masasında oturmak istemiş?"" \s5 ""Sörtapot."" \s3 Sörtapot mu? Sör Ahtapot. Anladın mı? \s7 Pes ediyorum.","Ah-ah, eccola qui, la mia battuta migliore di sempre. È lei. \s4 ""Perché le piovre sono il pesce più veloce dell'oceano?"" \s5 ""Perché finiscono in polpo-sition."" \s3 Polpo-sition? Pole position. L'hai capita? \s7 Ci rinuncio.","Ah, aqui está! Minha melhor piada! Isso aí! \s4 ""Qual peixe antigo exigiu um lugar à mesa do Rei Netuno?"" \s5 ""A cavala."" \s3 Cavala? Sim, porque era um cavaleiro. Entendeu? \s7 Eu desisto."
JOBMESSAGE_SPONGEBOB_BUS_MESSAGE_STAR4,Text,,I used to take this bus to school every day. \s5 And every day I'd have to give it back.,"Je prenais ce bus tous les jours pour aller à l'école. \s5 Et à chaque fois, il fallait que je le rende.",Früher bin ich jeden Tag mit diesem Bus zur Schule gefahren. \s5 Und jeden Tag musste ich ihn zurückgeben.,Antes cogía este autobús todos los días para ir a la escuela. \s5 Y luego siempre lo tenía que devolver.,おいらは昔、毎日このバスを使って通学していたんだよ。 \s5 毎日使っては、それを返さなければいけなかったんだ。,난 매일 이 버스를 타고 학교에 갔었어. \s5 그리고 매일 버스를 돌려 보내야 했지.,我以前每天乘这辆巴士去学校。 \s5 每天我都必须把它送回去。,Этот автобус встречал меня и отвозил в школу каждый день. \s5 И каждый день мне приходилось с ним прощаться.,我以前每天都搭這輛公車去學校。 \s5 然後再搭這班回家。,Her gün okula gitmek için bu otobüse binerdim. \s5 Sonra her gün geri inerdim.,Ogni giorno prendevo questo autobus per andare a scuola. \s5 E ogni giorno dovevo restituirlo.,Eu pegava esse ônibus todo dia para ir à escola. \s5 E todo dia eu tinha que sair dele.
JOBMESSAGE_SPONGEBOB_CONCHSTREET_MESSAGE_COMPLETE,Text,,"Barnacles be gone, your angry little squirter is a wonder! Sandy's gotta see this thing, she's going to love it!","Par toutes les berniques, ton petit pistolet à eau fait des merveilles ! Il faut que Sandy voie ça, elle ne va pas en revenir !","Weg mit den Seepocken, deine wütende kleine Spritzpistole ist ein Wunder! Sandy muss dieses Ding sehen, sie wird es lieben!","¡Por todos los percebes, ese lanzachorros tuyo es una pasada! ¡Arenita tiene que verlo, le va a encantar!",フジツボひとつ残ってない！君のその不機嫌な水鉄砲は優れものだね！サンディにも見せたかったな。きっと気に入るはずだよ！,따개비들이 전부 사라졌어! 그 조그만 화난 물총 정말 대단하다! 다람이가 보면 정말 마음에 들어할 거야!,藤壶都没了，你那愤怒的小喷水动物真是个奇迹！桑迪一定要来看看这个东西，她会喜欢的！,"Ракушка меня задери, ваша злая маленькая брызгалка — просто чудо! Надо показать Сэнди, ей понравится!",沒有了大洋遊俠，就靠你那個小噴水器了！珊迪得看看這個，她一定很愛！,"Midyeler artık yok! Senin bu öfkeli püskürtücü şahane bir şeymiş! Sandy'nin de bunu görmesi gerek, kesin bayılır!","Per gli occhiali di Supervista, il tuo spruzzatore furibondo fa miracoli! Devi farlo vedere a Sandy, l'adorerà!","Pelas cracas que já se foram, sua máquina de esguichar é incrível! A Sandy precisa ver isso, ela vai amar!"
JOBMESSAGE_SPONGEBOB_CONCHSTREET_MESSAGE_STAR0,Text,,I think the dirt came here because it wanted to. \s4 If I was a dirt I'd want to live here. And I'd want all my friends to live here with me.,"Je crois que la saleté a atterri ici parce qu'elle en avait envie. \s4 Si j'étais de la saleté, je voudrais vivre ici. Et je voudrais que tous mes amis vivent ici avec moi.","Ich glaube, der Dreck ist hierhergekommen, weil er es wollte. \s4 Wenn ich ein Dreck wäre, würde ich hier wohnen wollen. Und ich würde wollen, dass alle meine Freunde mit mir hier wohnen.","Creo que toda esta porquería ha venido aquí por su propia voluntad. \s4 Si yo fuera porquería, también querría vivir aquí. Y querría que todos mis amigos vivieran aquí conmigo.",この泥はきっと、ここに来たいと思ったから来たんだと思うんだあ。 \s4 おいらが泥だったら、ここに住みたいって思うよ。おいらの友達にもここに住んでもらいたいな。,내 생각에 이 먼지들은 여기에 오고 싶었던 것 같아. \s4 내가 먼지였어도 여기에서 살고 싶었을 걸. 내 친구들도 몽땅 데려와서 같이 살고 싶었을 거야.,我猜想，脏东西是主动来这里的。 \s4 如果我是脏东西，我也想住在这里。我希望所有朋友都和我一起住在这里。,"Я думаю, грязь пришла сюда, потому что ей так захотелось. \s4 Будь я грязью, я бы хотел здесь жить. И чтобы все мои друзья жили тут со мной.",我覺得這邊會有汙泥，是因為它們想要來這裡的關係。 \s4 如果我是汙泥，也會想住在這裡。我希望我所有的朋友都和我一起住在這裡。,Bence kir buraya istediği için geldi. \s4 Ben kir olsam burada yaşardım. Tüm arkadaşlarımın da gelip burada benimle yaşamasını isterdim.,Credo che lo sporco sia venuto qui perché lo volesse. \s4 Se fossi un cumulo di sporcizia vorrei vivere qui. E vorrei che tutti i miei amici vivessero qui con me.,"Acho que a sujeira veio pra cá porque ela quis. \s4 Se eu fosse uma sujeira, eu ia querer viver aqui. E ia querer que todos os meus amigos vivessem aqui comigo."
JOBMESSAGE_SPONGEBOB_CONCHSTREET_MESSAGE_STAR1,Text,,"If I was a dirt I'd want to live here too, Patrick. \s4 And I'd want you to live right down the way. \s4 And I'd want a dirty, little Squidward to live just next door.","Si j'étais de la saleté, moi aussi je voudrais vivre ici, Patrick. \s4 Et je voudrais que tu vives dans ma rue. \s4 Et je voudrais qu'un Carlo pas beau habite juste à côté de chez moi.","Wenn ich ein Dreck wäre, würde ich auch hier wohnen wollen, Patrick. \s4 Und ich würde wollen, dass du direkt nebenan wohnst. \s4 Und ich würde wollen, dass ein dreckiger kleiner Thaddäus gleich nebenan wohnt.","Si yo fuera porquería, también querría vivir aquí, Patricio. \s4 Y querría que tú vivieras justo a mi lado. \s4 Y querría tener de vecino a un pequeño Calamardo embarrado.",僕も泥だったらここに住みたいって思うよ、パトリック。 \s4 君にはすぐそばに住んでてほしいな。 \s4 泥イカルドには隣に住んでほしくないけど。,"내가 먼지였어도 여기서 살고 싶었을 거야, 뚱아. \s4 그리고 길 바로 건너편에 네가 살았으면 좋겠어. \s4 그리고 더럽고 조그만 징징이도 바로 옆집에 살았으면 좋겠어.",如果我是脏东西，我也想住在这里，派大星。 \s4 我希望你就住在这条路上。 \s4 我希望一个肮脏的小章鱼哥住在隔壁。,"Будь я грязью, я бы тоже хотел здесь жить, Патрик. \s4 И я бы хотел, чтобы ты жил рядом. \s4 И я бы хотел, чтобы по соседству жил маленький грязный Сквидвард.",派大星，如果我是汙泥，我也想住在這裡。 \s4 我希望你就住在這條路上。 \s4 然後希望骯髒的章魚哥就住在隔壁。,Kir olsam ben de burada yaşamak isterdim Patrick. \s4 Senin de hemen yolun aşağısında yaşamanı isterdim. \s4 Ayrıca kirli ufak bir Squidward'ın da komşum olmasını isterdim.,"Se fossi un cumulo di sporcizia vorrei vivere qui anch'io, Patrick. \s4 E vorrei che tu vivessi in fondo alla strada. \s4 E vorrei che uno piccolo sporco Squiddy come vicino.","Eu também ia querer viver aqui se fosse uma sujeira, Patrick. \s4 E eu gostaria que você vivesse bem pertinho. \s4 E eu gostaria que um pequeno Lula Molusco de sujeira vivesse na casa ao lado."
JOBMESSAGE_SPONGEBOB_CONCHSTREET_MESSAGE_STAR2,Text,,Imagine how many friends you'd have if you were a dirt. \s4 SpongeBob would still be my best friend if he was a dirt.,Imagine tous les amis que tu aurais si tu étais de la saleté. \s4 Bob l'éponge serait toujours mon meilleur ami s'il était de la saleté.,"Stell dir vor, wie viele Freunde du hättest, wenn du ein Dreck wärst. \s4 SpongeBob wäre immer noch mein bester Freund, wenn er ein Dreck wäre.",Imagina la de amigos que tendrías si fueses porquería. \s4 Bob Esponja seguiría siendo mi mejor amigo si fuera una pelotilla de porquería.,もしおいらが泥だったら、きっとたくさん友達ができるだろうな。 \s4 でもスポンジボブがおいらの親友だ。たとえ泥だったとしてもね。,네가 먼지였다면 얼마나 많은 친구가 있었을지 상상해 봐. \s4 스폰지밥이 먼지였어도 여전히 내 가장 친한 친구였을 거야.,想象一下，如果你是一个脏东西，你会有多少朋友。 \s4 即使海绵宝宝是脏东西，他依然是我最好的朋友。,"Представьте, сколько бы у вас было друзей, если бы вы были грязью. \s4 Губка Боб по-прежнему оставался бы моим лучшим другом, даже если бы он был грязью.",想像一下，如果你是一團汙泥，你會有多少朋友。 \s4 如果海綿寶寶是一團汙泥，他還是我最好的朋友。,Kir olsan ne kadar çok dostun olurdu bir düşünsene. \s4 Sünger Bob kir olsa da benim arkadaşım olurdu.,Pensa quanti amici avresti se fossi un cumulo di sporcizia. \s4 SpongeBob sarebbe comunque il mio migliore amico se fosse un cumulo di sporcizia.,"Imagine quantos amigos você teria se fosse uma sujeira. \s4 Bob Esponja ainda seria meu melhor amigo, mesmo que ele fosse uma sujeira."
JOBMESSAGE_SPONGEBOB_CONCHSTREET_MESSAGE_STAR3,Text,,"It’s all coming back to me now. We did clean up last night! \s5 Gary and I got our second wind and tackled the stubborn stains, and Patrick sleepcleaned the rest with the reef blower! Go team!","Ça me revient maintenant. On a bien fait le ménage hier soir ! \s5 Gary et moi, on s'est attaqués aux taches tenaces, pendant que Patrick nettoyait le reste avec l'Aspira-Souffleur ! Un vrai travail d'équipe !","Jetzt fällt mir alles wieder ein. Wir haben gestern Abend wirklich sauber gemacht! \s5 Gary und ich haben frischen Auftrieb bekommen und die hartnäckigen Flecken in Angriff genommen, und Patrick hat den Rest mit dem Riffgebläse schlafgeputzt! Los, Team!","Ya me estoy acordando. ¡Sí que limpiamos anoche! \s5 ¡A Gary y a mí nos dio el pronto y dimos caña a las manchas difíciles, y Patricio limpió el resto en plan sonámbulo con la aspiradora! ¡Trabajo en equipo!",だんだん思い出してきたよ。たしかに昨日はお片付けしてた！ \s5 ゲイリーと僕で力を振り絞って頑固な汚れをこすり取って、パトリックは眠りながらリーフブロワーでそれ以外を掃除したんだ！さすがだね！,"이제 모든 게 기억났어. 어젯밤에 진짜로 청소했어! \s5 핑핑이와 내가 기력을 충전한 다음에 심하게 물든 얼룩을 청소하기 시작했고, 뚱이도 잠결에 암초 송풍기로 나머지를 치웠어! 잘한다 우리 팀!",问题又回到了我身上。我们昨晚确实做了清理！ \s5 小蜗和我恢复了精神之后解决了顽固的污渍，派大星用礁石吹风机轻松解决了剩下的那些！伙计们干的好！,"Теперь я начинаю вспоминать. Мы действительно вчера тут все убирали! \s5 У нас с Гэри открылось второе дыхание, и мы справились со стойкими пятнами, а Патрик во сне почистил все остальное с помощью подводного пылесоса! Так держать!",我想起來了。我們昨晚有打掃乾淨沒錯！ \s5 小蝸跟我又清了一次，清掉那些頑固的汙垢，派大星也邊睡邊用吹風機把剩下的區域掃過了！大家真棒！,Şimdi hatırlamaya başladım. Dün gece temizlik yapmıştık! \s5 Gary ile hızımızı alamayıp inatçı lekelerin de icabına baktık. Patrick de kalan yerleri resif üfleyicisiyle temizledi! Yaşasın bizim ekip!,"Ora mi sta tornando tutto in mente. Ieri sera abbiamo effettivamente pulito! \s5 Gary e io abbiamo usato le nostre ultime energie per eliminare le macchie ostinate, mentre Patrick ha pulito da sonnambulo tutto il resto usando l'aspira reef! Che squadra!","Agora estou me lembrando. Nós limpamos tudo ontem à noite! \s5 Gary e eu tivemos um surto de ânimo e acabamos com as manchas difíceis, e Patrick limpou o resto com o soprador de recife! É isso aí, equipe!"
